Create time for UNORDERED TABLE: 138.419seconds
Create time for ORDERED TABLE: 7.631seconds
Create time for BINARY TREE: 2.405seconds
Create time for AVL: 2.205seconds
Create time for HASH TABLE: 0.178seconds
Create time for UNORDERED MAP: 0.158seconds
of-immovable 1 1 1 1 1 1 
a-dark 31 31 31 31 31 31 
of-this 260 260 260 260 260 260 
crystalline-lens 4 4 4 4 4 4 
the-whole 139 139 139 139 139 139 
line-of 26 26 26 26 26 26 
it-is 687 687 687 687 687 687 
having-no 6 6 6 6 6 6 
will-have 44 44 44 44 44 44 
thickness-in 2 2 2 2 2 2 
proportion-as 120 120 120 120 120 120 
been-proved 3 3 3 3 3 3 
being-much 2 2 2 2 2 2 
hinder-its 1 1 1 1 1 1 
experiment-showing 3 3 3 3 3 3 
of-your 37 37 37 37 37 37 
nothing-else 10 10 10 10 10 10 
a-b 145 145 145 145 145 145 
front-of 54 54 54 54 54 54 
horizontal-planes 1 1 1 1 1 1 
the-eye 521 521 521 521 521 521 
spaces-are 2 2 2 2 2 2 
the-perspective 19 19 19 19 19 19 
seen-by 48 48 48 48 48 48 
are-from 6 6 6 6 6 6 
plan-in 5 5 5 5 5 5 
to-it 66 66 66 66 66 66 
is-not 146 146 146 146 146 146 
of-objects 50 50 50 50 50 50 
that-here 5 5 5 5 5 5 
much-lower 2 2 2 2 2 2 
those-in 15 15 15 15 15 15 
by-measurement 1 1 1 1 1 1 
it-will 125 125 125 125 125 125 
height-there 1 1 1 1 1 1 
chapters-given 3 3 3 3 3 3 
its-height 7 7 7 7 7 7 
to-n 9 9 9 9 9 9 
fact-touch 1 1 1 1 1 1 
will-be 467 467 467 467 467 467 
and-equal 9 9 9 9 9 9 
from-the 826 826 826 826 826 826 
the-diminution 20 20 20 20 20 20 
plane-does 1 1 1 1 1 1 
above-and 15 15 15 15 15 15 
the-vertical 19 19 19 19 19 19 
time-to 14 14 14 14 14 14 
which-the 213 213 213 213 213 213 
the-larger 33 33 33 33 33 33 
of-the 4416 4416 4416 4416 4416 4416 
legibly-written 1 1 1 1 1 1 
the-"prospettiva 4 4 4 4 4 4 
finished-treatise 1 1 1 1 1 1 
it-must 39 39 39 39 39 39 
this-text 53 53 53 53 53 53 
the-nature 66 66 66 66 66 66 
ill-understood 1 1 1 1 1 1 
found-my 2 2 2 2 2 2 
shadows-are 18 18 18 18 18 18 
that-may 8 8 8 8 8 8 
are-3 2 2 2 2 2 2 
the-nature 66 66 66 66 66 66 
and-in 219 219 219 219 219 219 
or-in 34 34 34 34 34 34 
or-crystal 1 1 1 1 1 1 
but-shadow 2 2 2 2 2 2 
of-darkness 14 14 14 14 14 14 
whatever-their 1 1 1 1 1 1 
and-make 31 31 31 31 31 31 
starts-from 3 3 3 3 3 3 
in-the 1786 1786 1786 1786 1786 1786 
lost-126 1 1 1 1 1 1 
form-of 60 60 60 60 60 60 
which-falls 19 19 19 19 19 19 
the-shaded 17 17 17 17 17 17 
some-small 4 4 4 4 4 4 
on-the 987 987 987 987 987 987 
at-and 4 4 4 4 4 4 
in-perspective 12 12 12 12 12 12 
eye-and 92 92 92 92 92 92 
it-some 1 1 1 1 1 1 
2-pyramids 2 2 2 2 2 2 
forth-by 3 3 3 3 3 3 
be-equal 15 15 15 15 15 15 
partakes-of 4 4 4 4 4 4 
c-and 31 31 31 31 31 31 
which-they 47 47 47 47 47 47 
the-same 517 517 517 517 517 517 
of-the 4416 4416 4416 4416 4416 4416 
140-137 1 1 1 1 1 1 
point-produced 1 1 1 1 1 1 
and-thickness 6 6 6 6 6 6 
in-the 1786 1786 1786 1786 1786 1786 
is-not 146 146 146 146 146 146 
f-will 4 4 4 4 4 4 
ii-no 4 4 4 4 4 4 
light-footnote: 6 6 6 6 6 6 
the-west 60 60 60 60 60 60 
are-illuminated 8 8 8 8 8 8 
be-less 15 15 15 15 15 15 
by-the 724 724 724 724 724 724 
ordinary-type 1 1 1 1 1 1 
which-divide 5 5 5 5 5 5 
at-k 3 3 3 3 3 3 
several-luminous 3 3 3 3 3 3 
is-in 137 137 137 137 137 137 
as-it 139 139 139 139 139 139 
with-it 39 39 39 39 39 39 
153-lines 1 1 1 1 1 1 
the-light 248 248 248 248 248 248 
is-an 21 21 21 21 21 21 
but-both 1 1 1 1 1 1 
science-of 7 7 7 7 7 7 
is-larger 17 17 17 17 17 17 
but-the 82 82 82 82 82 82 
and-if 225 225 225 225 225 225 
angle-whence 1 1 1 1 1 1 
elongated-form 2 2 2 2 2 2 
the-body 151 151 151 151 151 151 
and-an 8 8 8 8 8 8 
the-former 16 16 16 16 16 16 
conceive-of 2 2 2 2 2 2 
causing-them 6 6 6 6 6 6 
light-and 211 211 211 211 211 211 
b-which 9 9 9 9 9 9 
is-nearest 15 15 15 15 15 15 
that-it 150 150 150 150 150 150 
according-as 3 3 3 3 3 3 
in-front 75 75 75 75 75 75 
the-sides 34 34 34 34 34 34 
middle-diagram 1 1 1 1 1 1 
of-the 4416 4416 4416 4416 4416 4416 
proportion-of 20 20 20 20 20 20 
that-of 103 103 103 103 103 103 
b-will 6 6 6 6 6 6 
of-the 4416 4416 4416 4416 4416 4416 
14:-lumi 1 1 1 1 1 1 
the-objects 86 86 86 86 86 86 
shadows-beyond 1 1 1 1 1 1 
width-of 34 34 34 34 34 34 
180-a 1 1 1 1 1 1 
one-between 1 1 1 1 1 1 
of-the 4416 4416 4416 4416 4416 4416 
illuminated-by 38 38 38 38 38 38 
the-deeper 4 4 4 4 4 4 
nearer-to 42 42 42 42 42 42 
the-facsimile 13 13 13 13 13 13 
on-the 987 987 987 987 987 987 
we-say 4 1 4 4 46 3 
of-the 4416 4416 4416 4416 4416 4416 
this-light 13 13 13 13 13 13 
